time_window,src_mac,protocol,pkt_count,pkt_rate,byte_mean,byte_rate,iat_mean,iat_std,label
20,5,2,11,0.55,68.36363636363636,37.6,1833.6,1397.3227734969946,0
20,6,1,4,0.2,51.0,10.2,5614.666666666667,218.8294617580854,0
20,6,2,10,0.5,74.6,37.3,1923.3333333333333,1794.2040714478385,0
20,7,1,3,0.15,51.0,7.65,5421.5,166.17009357883867,0
20,7,2,11,0.55,70.9090909090909,39.0,1551.6,2200.635574858621,0
20,8,1,14,0.7,59.57142857142857,41.7,1292.076923076923,1011.793495197057,0
20,8,2,13,0.65,73.3076923076923,47.65,1400.4166666666667,1514.6278545830287,0
20,9,1,43,2.15,57.674418604651166,124.0,427.8095238095238,571.591199564234,1
20,9,2,14,0.7,77.0,53.9,1290.2307692307693,1229.7248441451006,0
20,10,1,13,0.65,52.76923076923077,34.3,1652.3333333333333,920.9158813952882,0
20,10,2,10,0.5,69.7,34.85,1977.0,1237.6795829292814,0
20,11,1,1,0.05,53.0,2.65,0.0,0.0,1
20,11,2,7,0.35,85.0,29.75,2964.3333333333335,2106.1144951466117,0
20,12,1,1,0.05,61.0,3.05,0.0,0.0,1
20,12,2,12,0.6,87.33333333333333,52.4,1459.5454545454545,1104.9885396361685,0
20,13,1,2,0.1,53.0,5.3,126.0,0.0,1
20,13,2,8,0.4,86.5,34.6,2593.714285714286,1616.0974304669583,0
20,15,1,2,0.1,51.0,5.1,15.0,0.0,0
20,15,2,1,0.05,97.0,4.85,0.0,0.0,0
20,16,2,1,0.05,97.0,4.85,0.0,0.0,0
20,17,2,1,0.05,97.0,4.85,0.0,0.0,0
20,18,1,2,0.1,51.0,5.1,4867.0,0.0,0
20,18,2,1,0.05,97.0,4.85,0.0,0.0,0
20,19,1,2,0.1,51.0,5.1,5656.0,0.0,0
20,19,2,1,0.05,97.0,4.85,0.0,0.0,0
20,20,1,3,0.15,51.0,7.65,2844.0,3955.5553339575467,0
20,20,2,1,0.05,97.0,4.85,0.0,0.0,0
20,21,1,8,0.4,59.375,23.75,829.1428571428571,1053.6771214136122,0
20,21,2,1,0.05,97.0,4.85,0.0,0.0,0
20,22,1,5,0.25,51.6,12.9,1898.5,1293.5028668954185,0
20,22,2,1,0.05,97.0,4.85,0.0,0.0,0
20,23,1,8,0.4,52.125,20.85,909.5714285714286,1113.4848984371629,0
20,23,2,1,0.05,97.0,4.85,0.0,0.0,0
20,24,1,6,0.3,52.333333333333336,15.7,1340.6,1278.4423334667856,0
20,24,2,1,0.05,97.0,4.85,0.0,0.0,0
20,25,1,6,0.3,52.666666666666664,15.8,1660.8,1018.9988714419658,0
20,25,2,1,0.05,97.0,4.85,0.0,0.0,0
20,26,1,15,0.75,58.666666666666664,44.0,557.5,709.6980668945394,0
20,26,2,1,0.05,97.0,4.85,0.0,0.0,0
20,28,1,2,0.1,51.0,5.1,10828.0,0.0,0
20,28,2,14,0.7,73.5,51.45,1176.076923076923,2288.691710036488,0
20,29,1,4,0.2,51.0,10.2,3531.0,6035.350942571608,0
20,29,2,13,0.65,71.6923076923077,46.6,1080.75,1406.6791405809124,0
20,30,1,2,0.1,51.0,5.1,9804.0,0.0,0
20,30,2,7,0.35,78.0,27.3,2145.6666666666665,1296.5357945952233,0
20,31,1,6,0.3,51.0,15.3,3168.8,2930.9119229345665,0
20,31,2,7,0.35,74.0,25.9,2958.3333333333335,1654.7353464124305,0
20,32,1,5,0.25,51.0,12.75,3765.75,2576.949666433812,0
20,32,2,10,0.5,67.6,33.8,1947.6666666666667,1935.099286858429,0
20,33,1,7,0.35,51.0,17.85,2350.3333333333335,2504.4327634549636,0
20,33,2,8,0.4,74.25,29.7,2745.5714285714284,1383.1939918347023,0
20,34,1,14,0.7,51.5,36.05,1351.6153846153845,1018.51309420985,0
20,34,2,12,0.6,78.91666666666667,47.35,1567.5454545454545,1983.3817264276872,0
20,35,1,11,0.55,51.72727272727273,28.45,1664.8,1214.7422040178822,0
20,35,2,9,0.45,74.44444444444444,33.5,2269.5,1680.3235232707846,0
20,36,1,14,0.7,52.714285714285715,36.9,1441.076923076923,1086.63329152774,0
20,36,2,9,0.45,74.44444444444444,33.5,2187.625,1532.0778549314746,0
20,37,1,5,0.25,52.0,13.0,4088.0,361.85171917052804,0
20,37,2,9,0.45,74.44444444444444,33.5,1810.5,1439.9732140365866,3
20,38,1,4,0.2,52.0,10.4,3945.0,426.83837690629457,0
20,38,2,7,0.35,74.0,25.9,2556.0,1904.61439666931,3
20,39,1,6,0.3,52.0,15.6,3522.0,1984.8734216569076,0
20,39,2,8,0.4,71.625,28.65,1878.2857142857142,1789.76736982638,3
20,41,1,3,0.15,59.0,8.85,27.5,27.577164466275352,0
20,41,2,11,0.55,85.0,46.75,1739.1,2239.5186710045036,4
20,42,1,2,0.1,59.0,5.9,31.0,0.0,0
20,42,2,13,0.65,88.84615384615384,57.75,1330.1666666666667,1053.0525181872963,4
20,43,1,2,0.1,51.0,5.1,9508.0,0.0,0
20,43,2,6,0.3,95.16666666666667,28.55,3370.4,862.8784966610306,0
20,44,1,4,0.2,59.0,11.8,5182.333333333333,428.7497327501595,0
20,44,2,13,0.65,84.84615384615384,55.15,1468.0833333333333,2169.683238645818,4
20,45,1,6,0.3,51.0,15.3,3317.2,3012.328036585657,0
20,45,2,11,0.55,96.36363636363636,53.0,1661.7,2262.8240492309114,0
20,46,1,4,0.2,59.0,11.8,3388.0,2941.791460997873,0
20,46,2,8,0.4,84.25,33.7,2763.4285714285716,2539.3800987080067,4
20,47,1,15,0.75,61.266666666666666,45.95,1307.5,1104.0681242916685,0
20,47,2,10,0.5,87.5,43.75,1803.7777777777778,1638.3345032210134,4
20,48,1,10,0.5,51.8,25.9,1837.6666666666667,1080.6110539875112,0
20,48,2,8,0.4,93.625,37.45,2233.285714285714,2086.456862265606,0
20,49,1,9,0.45,60.666666666666664,27.3,1509.75,1300.6884715411297,0
20,49,2,12,0.6,83.25,49.95,1470.1818181818182,1097.6195896741108,4
20,50,1,26,1.3,60.5,78.65,701.88,1071.4038423177944,0
20,50,2,14,0.7,82.71428571428571,57.9,1379.8461538461538,1561.1168462649769,4
20,51,1,28,1.4,59.785714285714285,83.7,677.9629629629629,858.1579772746474,0
20,51,2,12,0.6,81.66666666666667,49.0,1424.7272727272727,1103.2670656653438,4
20,52,1,17,0.85,59.529411764705884,50.6,980.4375,1671.0463376280143,0
20,52,2,23,1.15,81.21739130434783,93.4,826.4545454545455,1177.5695602655792,4
40,2,1,2,0.1,51.0,5.1,9039.0,0.0,0
40,2,2,8,0.4,74.25,29.7,2343.714285714286,2169.955123521046,0
40,3,1,8,0.4,51.0,20.4,1492.2857142857142,3892.7017487552143,0
40,3,2,11,0.55,72.81818181818181,40.05,1757.8,1313.8317835840155,0
40,4,1,2,0.1,51.0,5.1,9414.0,0.0,0
40,4,2,13,0.65,74.92307692307692,48.7,1447.25,1523.0107219225047,0
40,5,1,5,0.25,51.0,12.75,4052.5,2671.2569450853407,0
40,5,2,10,0.5,70.4,35.2,1901.888888888889,1682.1458352684854,0
40,6,1,5,0.25,51.2,12.8,3715.0,2502.755414871111,0
40,6,2,10,0.5,67.6,33.8,1902.7777777777778,1285.0195307638107,0
40,7,1,7,0.35,51.285714285714285,17.95,3061.1666666666665,2365.6065113764516,0
40,7,2,9,0.45,74.44444444444444,33.5,2268.0,1604.7782223276656,0
40,8,1,12,0.6,60.0,36.0,1593.8181818181818,1111.6895086472498,0
40,8,2,6,0.3,78.33333333333333,23.5,2854.8,1997.2280040095573,0
40,9,1,41,2.05,58.951219512195124,120.85,474.2,632.2398198022564,1
40,9,2,14,0.7,75.0,52.5,1338.3846153846155,920.3043462592088,0
40,10,1,15,0.75,53.0,39.75,1222.2857142857142,1007.140081049872,0
40,10,2,8,0.4,74.25,29.7,2247.714285714286,1483.8493537963702,0
40,11,1,3,0.15,53.0,7.95,6949.5,502.7529214236353,1
40,11,2,6,0.3,90.0,27.0,3393.6,950.6856999029701,0
40,12,1,5,0.25,61.0,15.25,3478.5,4006.5488474080366,1
40,12,2,16,0.8,84.5,67.6,1161.9333333333334,1461.0519432766177,0
40,13,1,3,0.15,53.0,7.95,6984.0,420.0214280248092,1
40,13,2,7,0.35,88.71428571428571,31.05,2192.6666666666665,1797.4887667706485,0
40,15,1,1,0.05,51.0,2.55,0.0,0.0,0
40,16,1,2,0.1,51.0,5.1,10422.0,0.0,0
40,17,1,2,0.1,51.0,5.1,10711.0,0.0,0
40,18,1,4,0.2,51.0,10.2,4945.333333333333,391.27654329557424,0
40,18,2,2,0.1,102.0,10.2,47.0,0.0,0
40,19,1,6,0.3,51.0,15.3,3025.0,2768.718837296413,0
40,20,1,4,0.2,51.0,10.2,4909.0,355.27031961592286,0
40,21,1,16,0.8,60.0,48.0,977.6,1115.3041097130672,0
40,21,2,1,0.05,102.0,5.1,0.0,0.0,0
40,22,1,11,0.55,52.0,28.6,1441.4,1029.0389475406437,0
40,22,2,1,0.05,97.0,4.85,0.0,0.0,0
40,23,1,13,0.65,53.0,34.45,1302.0833333333333,1351.2019873453637,0
40,23,2,1,0.05,97.0,4.85,0.0,0.0,0
40,24,1,10,0.5,53.0,26.5,1715.3333333333333,744.4929482540449,0
40,25,1,13,0.65,53.0,34.45,1144.9166666666667,1220.9772135714106,0
40,25,2,1,0.05,102.0,5.1,0.0,0.0,0
40,26,1,29,1.45,57.96551724137931,84.05,595.7857142857143,633.4860843362063,0
40,28,1,3,0.15,51.0,7.65,5066.5,7142.485596765317,0
40,28,2,10,0.5,81.6,40.8,2030.4444444444443,1433.8948803094938,0
40,29,1,5,0.25,51.0,12.75,2423.75,4800.846132020201,0
40,29,2,11,0.55,70.27272727272727,38.65,1718.0,1587.1252138519017,0
40,30,1,3,0.15,51.0,7.65,4640.5,6540.030619194378,0
40,30,2,8,0.4,76.875,30.75,2711.0,1278.4911680049522,0
40,31,1,5,0.25,51.2,12.8,3527.25,2346.8965855642923,0
