frame_number,timestamp_ms,frame_len,is_udp,is_rpl,is_ack,mac_src,mac_dst,mac_seq_number,mac_pan_id,mac_fcf,mac_frame_type,mac_security,mac_pending,mac_ack_req,mac_pan_id_comp,mac_dst_mode,mac_src_mode,mac_version,ip_src,ip_dst,udp_src_port,udp_dst_port,udp_len,payload_size,payload_hex,rpl_type,rpl_code,rpl_rank,rpl_version,rpl_instance_id,rpl_mop,rpl_dtsn,rpl_flags,rpl_dao_sequence,rpl_dodagid,label
109,6761,102,0,1,0,21,26,58,43981.0,56417,1,0,0,1,1,3,3,1,21,26,,,,,,155.0,1.0,776.0,240.0,30.0,16.0,240.0,0.0,,0,0
110,6764,5,0,0,1,0,0,58,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
111,6799,102,0,1,0,15,14,61,43981.0,56417,1,0,0,1,1,3,3,1,15,14,,,,,,155.0,1.0,341.0,240.0,30.0,16.0,240.0,0.0,,0,0
112,6803,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
113,7042,76,0,1,0,21,26,59,43981.0,56417,1,0,0,1,1,3,3,1,21,26,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
114,7057,76,0,1,0,21,26,59,43981.0,56417,1,0,0,1,1,3,3,1,21,26,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
115,7063,52,1,0,0,25,14,60,43981.0,56417,1,0,0,1,1,3,3,1,25,14,6001.0,9001.0,19.0,11.0,69643d3132207365713d31,,,,,,,,,,0,0
116,7065,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
117,7087,102,0,1,0,25,14,61,43981.0,56417,1,0,0,1,1,3,3,1,25,14,,,,,,155.0,1.0,400.0,240.0,30.0,16.0,240.0,0.0,,0,0
118,7091,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
119,7104,76,0,1,0,21,26,59,43981.0,56417,1,0,0,1,1,3,3,1,21,26,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
120,7107,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
121,7112,76,0,1,0,21,26,59,43981.0,56417,1,0,0,1,1,3,3,1,21,26,,,,,,155.0,2.0,,,30.0,,,64.0,241.0,0,0
122,7115,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
123,7132,52,1,0,0,14,25,64,43981.0,56417,1,0,0,1,1,3,3,1,14,25,9001.0,6001.0,19.0,11.0,69643d3132207365713d31,,,,,,,,,,0,0
124,7134,5,0,0,1,0,0,64,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
125,7142,76,0,1,0,26,14,61,43981.0,56417,1,0,0,1,1,3,3,1,26,14,,,,,,155.0,2.0,,,30.0,,,64.0,242.0,0,0
126,7145,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
127,7443,102,0,1,0,17,14,60,43981.0,56417,1,0,0,1,1,3,3,1,17,14,,,,,,155.0,1.0,366.0,240.0,30.0,16.0,240.0,0.0,,0,0
128,7446,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
129,7458,102,0,1,0,17,14,60,43981.0,56417,1,0,0,1,1,3,3,1,17,14,,,,,,155.0,1.0,366.0,240.0,30.0,16.0,240.0,0.0,,0,0
130,7462,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
131,7496,102,0,1,0,20,14,59,43981.0,56417,1,0,0,1,1,3,3,1,20,14,,,,,,155.0,1.0,400.0,240.0,30.0,16.0,240.0,0.0,,0,0
132,7500,5,0,0,1,0,0,59,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
133,7823,52,1,0,0,24,14,61,43981.0,56417,1,0,0,1,1,3,3,1,24,14,6001.0,9001.0,19.0,11.0,69643d3131207365713d31,,,,,,,,,,0,0
134,7826,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
135,7882,52,1,0,0,14,24,65,43981.0,56417,1,0,0,1,1,3,3,1,14,24,9001.0,6001.0,19.0,11.0,69643d3131207365713d31,,,,,,,,,,0,0
136,7884,5,0,0,1,0,0,65,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
137,7944,102,0,1,0,22,25,61,43981.0,56417,1,0,0,1,1,3,3,1,22,25,,,,,,155.0,1.0,339.0,240.0,30.0,16.0,240.0,0.0,,0,0
138,7990,102,0,1,0,22,25,61,43981.0,56417,1,0,0,1,1,3,3,1,22,25,,,,,,155.0,1.0,339.0,240.0,30.0,16.0,240.0,0.0,,0,0
139,7994,5,0,0,1,0,0,61,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
140,8173,52,1,0,0,26,14,62,43981.0,56417,1,0,0,1,1,3,3,1,26,14,6001.0,9001.0,19.0,11.0,69643d3133207365713d31,,,,,,,,,,0,0
141,8175,5,0,0,1,0,0,62,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
142,8202,52,1,0,0,14,26,66,43981.0,56417,1,0,0,1,1,3,3,1,14,26,9001.0,6001.0,19.0,11.0,69643d3133207365713d31,,,,,,,,,,0,0
143,8204,5,0,0,1,0,0,66,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
144,8247,97,0,1,0,18,255,61,43981.0,55361,1,0,0,0,1,2,3,1,18,255,,,,,,155.0,1.0,411.0,240.0,30.0,16.0,240.0,0.0,,0,0
145,8294,51,1,0,0,22,14,62,43981.0,56417,1,0,0,1,1,3,3,1,22,14,6001.0,9001.0,18.0,10.0,69643d39207365713d31,,,,,,,,,,0,0
146,8297,5,0,0,1,0,0,62,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
147,8358,51,1,0,0,14,22,67,43981.0,56417,1,0,0,1,1,3,3,1,14,22,9001.0,6001.0,18.0,10.0,69643d39207365713d31,,,,,,,,,,0,0
148,8360,5,0,0,1,0,0,67,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
149,8440,59,1,0,0,21,26,60,43981.0,56417,1,0,0,1,1,3,3,1,21,0,6001.0,9001.0,18.0,10.0,69643d38207365713d30,,,,,,,,,,0,0
150,8442,5,0,0,1,0,0,60,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
151,8486,60,1,0,0,26,14,63,43981.0,56417,1,0,0,1,1,3,3,1,0,14,6001.0,9001.0,18.0,10.0,69643d38207365713d30,,,,,,,,,,0,0
152,8488,5,0,0,1,0,0,63,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
153,8546,59,1,0,0,14,26,68,43981.0,56417,1,0,0,1,1,3,3,1,14,0,9001.0,6001.0,18.0,10.0,69643d38207365713d30,,,,,,,,,,0,0
154,8548,5,0,0,1,0,0,68,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
155,8603,60,1,0,0,26,21,64,43981.0,56417,1,0,0,1,1,3,3,1,0,21,9001.0,6001.0,18.0,10.0,69643d38207365713d30,,,,,,,,,,0,0
156,8605,5,0,0,1,0,0,64,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
157,8629,97,0,1,0,16,255,61,43981.0,55361,1,0,0,0,1,2,3,1,16,255,,,,,,155.0,1.0,376.0,240.0,30.0,16.0,240.0,0.0,,0,0
158,8752,52,1,0,0,23,14,62,43981.0,56417,1,0,0,1,1,3,3,1,23,14,6001.0,9001.0,19.0,11.0,69643d3130207365713d31,,,,,,,,,,0,0
159,8754,5,0,0,1,0,0,62,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
160,8819,52,1,0,0,14,23,69,43981.0,56417,1,0,0,1,1,3,3,1,14,23,9001.0,6001.0,19.0,11.0,69643d3130207365713d31,,,,,,,,,,0,0
161,8821,5,0,0,1,0,0,69,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
162,8837,52,1,0,0,25,14,62,43981.0,56417,1,0,0,1,1,3,3,1,25,14,6001.0,9001.0,19.0,11.0,69643d3132207365713d32,,,,,,,,,,0,0
163,8839,5,0,0,1,0,0,62,,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0
164,8861,97,0,1,0,19,255,61,43981.0,55361,1,0,0,0,1,2,3,1,19,255,,,,,,155.0,1.0,374.0,240.0,30.0,16.0,240.0,0.0,,0,0
165,8862,97,0,1,0,23,255,63,43981.0,55361,1,0,0,0,1,2,3,1,23,255,,,,,,155.0,1.0,377.0,240.0,30.0,16.0,240.0,0.0,,0,0
